error_px,distance_cm,correction_angle,axis
456,28.689999999999998,2.0,x
456,28.689999999999998,2.0,x
456,28.689999999999998,2.0,x
456,28.689999999999998,2.0,x
456,28.689999999999998,2.0,x
-133,35.47,-1.9949999999999999,x
-133,35.47,-1.9949999999999999,x
-133,35.47,-1.9949999999999999,x
-133,35.47,-1.9949999999999999,x
-133,35.47,-1.9949999999999999,x
-133,35.47,-1.9949999999999999,x
-133,35.47,-1.9949999999999999,x
-574,70.55,-2.0,x
-574,70.55,-2.0,x
-574,70.55,-2.0,x
-574,70.55,-2.0,x
-496,35.47,-2.0,x
-496,35.47,-2.0,x
-496,35.47,-2.0,x
-496,35.47,-2.0,x
-496,35.47,-2.0,x
-496,35.47,-2.0,x
-496,35.47,-2.0,x
-496,35.47,-2.0,x
-496,35.47,-2.0,x
-414,29.28,-2.0,x
-414,29.28,-2.0,x
-414,29.28,-2.0,x
-414,29.28,-2.0,x
-414,29.28,-2.0,x
-414,29.28,-2.0,x
-414,29.28,-2.0,x
191,36.68,2.0,x
191,36.68,2.0,x
191,36.68,2.0,x
191,36.68,2.0,x
191,36.68,2.0,x
191,36.68,2.0,x
191,36.68,2.0,x
191,36.68,2.0,x
191,36.68,2.0,x
191,36.68,2.0,x
191,36.68,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
566,61.03,2.0,x
295,25.229999999999997,2.0,x
295,25.229999999999997,2.0,x
295,25.229999999999997,2.0,x
295,25.229999999999997,2.0,x
295,25.229999999999997,2.0,x
295,25.229999999999997,2.0,x
295,25.229999999999997,2.0,x
295,25.229999999999997,2.0,x
295,25.229999999999997,2.0,x
295,25.229999999999997,2.0,x
584,84.54,2.0,x
584,84.54,2.0,x
584,84.54,2.0,x
584,84.54,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
485,25.47,2.0,x
354,28.689999999999998,2.0,x
354,28.689999999999998,2.0,x
354,28.689999999999998,2.0,x
354,28.689999999999998,2.0,x
354,28.689999999999998,2.0,x
354,28.689999999999998,2.0,x
354,28.689999999999998,2.0,x
354,28.689999999999998,2.0,x
354,28.689999999999998,2.0,x
354,28.689999999999998,2.0,x
354,28.689999999999998,2.0,x
354,28.689999999999998,2.0,x
354,28.689999999999998,2.0,x
-474,30.189999999999998,-2.0,x
-474,30.189999999999998,-2.0,x
-474,30.189999999999998,-2.0,x
-474,30.189999999999998,-2.0,x
-474,30.189999999999998,-2.0,x
-474,30.189999999999998,-2.0,x
-474,30.189999999999998,-2.0,x
-474,30.189999999999998,-2.0,x
-474,30.189999999999998,-2.0,x
-474,30.189999999999998,-2.0,x
-474,30.189999999999998,-2.0,x
-474,30.189999999999998,-2.0,x
-474,30.189999999999998,-2.0,x
-474,30.189999999999998,-2.0,x
-474,30.189999999999998,-2.0,x
-474,30.189999999999998,-2.0,x
192,36.68,2.0,x
192,36.68,2.0,x
192,36.68,2.0,x
192,36.68,2.0,x
192,36.68,2.0,x
192,36.68,2.0,x
192,36.68,2.0,x
192,36.68,2.0,x
192,36.68,2.0,x
192,36.68,2.0,x
192,36.68,2.0,x
192,36.68,2.0,x
192,36.68,2.0,x
192,36.68,2.0,x
300,35.87,2.0,x
300,35.87,2.0,x
300,35.87,2.0,x
300,35.87,2.0,x
300,35.87,2.0,x
300,35.87,2.0,x
300,35.87,2.0,x
300,35.87,2.0,x
300,35.87,2.0,x
300,35.87,2.0,x
-292,39.78,-2.0,x
-292,39.78,-2.0,x
-292,39.78,-2.0,x
-292,39.78,-2.0,x
-292,39.78,-2.0,x
-292,39.78,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
-553,51.29,-2.0,x
448,32.5,2.0,x
448,32.5,2.0,x
448,32.5,2.0,x
448,32.5,2.0,x
448,32.5,2.0,x
448,32.5,2.0,x
448,32.5,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
540,41.74,2.0,x
-433,37.96,-2.0,x
-433,37.96,-2.0,x
-433,37.96,-2.0,x
-433,37.96,-2.0,x
-433,37.96,-2.0,x
-433,37.96,-2.0,x
-433,37.96,-2.0,x
-433,37.96,-2.0,x
-601,130.4,-2.0,x
-601,130.4,-2.0,x
-601,130.4,-2.0,x
-601,130.4,-2.0,x
-601,130.4,-2.0,x
-601,130.4,-2.0,x
-601,130.4,-2.0,x
-601,130.4,-2.0,x
-601,130.4,-2.0,x
-601,130.4,-2.0,x
-601,130.4,-2.0,x
-600,130.4,-2.0,x
-600,130.4,-2.0,x
-600,130.4,-2.0,x
-600,130.4,-2.0,x
-600,130.4,-2.0,x
-600,130.4,-2.0,x
-600,130.4,-2.0,x
-600,130.4,-2.0,x
-600,130.4,-2.0,x
-600,130.4,-2.0,x
-600,130.4,-2.0,x
-600,130.4,-2.0,x
-600,130.4,-2.0,x
-600,130.4,-2.0,x
-107,41.23,-1.605,x
-107,41.23,-1.605,x
-107,41.23,-1.605,x
-107,41.23,-1.605,x
-107,41.23,-1.605,x
-107,41.23,-1.605,x
-107,41.23,-1.605,x
-107,41.23,-1.605,x
-107,41.23,-1.605,x
-107,41.23,-1.605,x
-107,41.23,-1.605,x
-107,41.23,-1.605,x
592,99.69,2.0,x
592,99.69,2.0,x
592,99.69,2.0,x
592,99.69,2.0,x
592,99.69,2.0,x
592,99.69,2.0,x
592,99.69,2.0,x
592,99.69,2.0,x
592,99.69,2.0,x
592,99.69,2.0,x
592,99.69,2.0,x
592,99.69,2.0,x
592,99.69,2.0,x
592,99.69,2.0,x
592,99.69,2.0,x
592,99.69,2.0,x
592,99.69,2.0,x
592,99.69,2.0,x
592,99.69,2.0,x
592,99.69,2.0,x
428,27.28,2.0,x
428,27.28,2.0,x
428,27.28,2.0,x
428,27.28,2.0,x
428,27.28,2.0,x
428,27.28,2.0,x
428,27.28,2.0,x
428,27.28,2.0,x
428,27.28,2.0,x
428,27.28,2.0,x
-420,39.32,-2.0,x
-420,39.32,-2.0,x
-420,39.32,-2.0,x
-420,39.32,-2.0,x
-420,39.32,-2.0,x
-420,39.32,-2.0,x
-420,39.32,-2.0,x
-420,39.32,-2.0,x
-547,46.72,-2.0,x
-547,46.72,-2.0,x
-547,46.72,-2.0,x
-547,46.72,-2.0,x
-547,46.72,-2.0,x
-547,46.72,-2.0,x
-547,46.72,-2.0,x
-547,46.72,-2.0,x
-547,46.72,-2.0,x
-547,46.72,-2.0,x
-547,46.72,-2.0,x
-547,46.72,-2.0,x
-547,46.72,-2.0,x
-333,35.87,-2.0,x
-333,35.87,-2.0,x
-333,35.87,-2.0,x
-333,35.87,-2.0,x
-333,35.87,-2.0,x
-333,35.87,-2.0,x
-333,35.87,-2.0,x
-333,35.87,-2.0,x
-333,35.87,-2.0,x
530,37.1,2.0,x
530,37.1,2.0,x
530,37.1,2.0,x
530,37.1,2.0,x
530,37.1,2.0,x
530,37.1,2.0,x
530,37.1,2.0,x
530,37.1,2.0,x
530,37.1,2.0,x
530,37.1,2.0,x
530,37.1,2.0,x
428,24.75,2.0,x
428,24.75,2.0,x
428,24.75,2.0,x
428,24.75,2.0,x
428,24.75,2.0,x
428,24.75,2.0,x
428,24.75,2.0,x
428,24.75,2.0,x
428,24.75,2.0,x
428,24.75,2.0,x
428,24.75,2.0,x
428,24.75,2.0,x
280,37.53,2.0,x
280,37.53,2.0,x
280,37.53,2.0,x
280,37.53,2.0,x
280,37.53,2.0,x
280,37.53,2.0,x
280,37.53,2.0,x
280,37.53,2.0,x
280,37.53,2.0,x
280,37.53,2.0,x
280,37.53,2.0,x
280,37.53,2.0,x
-355,35.07,-2.0,x
-355,35.07,-2.0,x
-355,35.07,-2.0,x
-355,35.07,-2.0,x
-355,35.07,-2.0,x
-355,35.07,-2.0,x
-355,35.07,-2.0,x
266,24.75,2.0,x
266,24.75,2.0,x
266,24.75,2.0,x
554,50.59,2.0,x
554,50.59,2.0,x
554,50.59,2.0,x
554,50.59,2.0,x
554,50.59,2.0,x
614,191.43,2.0,x
614,191.43,2.0,x
614,191.43,2.0,x
537,40.26,2.0,x
537,40.26,2.0,x
537,40.26,2.0,x
537,40.26,2.0,x
537,40.26,2.0,x
537,40.26,2.0,x
538,40.74,2.0,x
538,40.74,2.0,x
538,40.74,2.0,x
538,40.74,2.0,x
538,40.74,2.0,x
538,40.74,2.0,x
145,40.74,2.0,x
145,40.74,2.0,x
145,40.74,2.0,x
145,40.74,2.0,x
145,40.74,2.0,x
145,40.74,2.0,x
145,40.74,2.0,x
145,40.74,2.0,x
145,40.74,2.0,x
145,40.74,2.0,x
145,40.74,2.0,x
145,40.74,2.0,x
-80,59.2,-0.96,x
-80,59.2,-0.96,x
-80,59.2,-0.96,x
-76,59.2,-0.912,x
-76,59.2,-0.912,x
-76,59.2,-0.912,x
-76,59.2,-0.912,x
-76,59.2,-0.912,x
-76,59.2,-0.912,x
-76,59.2,-0.912,x
-76,59.2,-0.912,x
-76,59.2,-0.912,x
-76,59.2,-0.912,x
-76,59.2,-0.912,x
-76,59.2,-0.912,x
-76,59.2,-0.912,x
207,54.230000000000004,2.0,x
207,54.230000000000004,2.0,x
207,54.230000000000004,2.0,x
207,54.230000000000004,2.0,x
207,54.230000000000004,2.0,x
207,54.230000000000004,2.0,x
207,54.230000000000004,2.0,x
207,54.230000000000004,2.0,x
207,54.230000000000004,2.0,x
207,54.230000000000004,2.0,x
207,54.230000000000004,2.0,x
207,54.230000000000004,2.0,x
-399,52.0,-2.0,x
-399,52.0,-2.0,x
-399,52.0,-2.0,x
-399,52.0,-2.0,x
-196,55.81,-2.0,x
-196,55.81,-2.0,x
-196,55.81,-2.0,x
-196,55.81,-2.0,x
-196,55.81,-2.0,x
-196,55.81,-2.0,x
-196,55.81,-2.0,x
-196,55.81,-2.0,x
-196,55.81,-2.0,x
352,49.91,2.0,x
352,49.91,2.0,x
352,49.91,2.0,x
352,49.91,2.0,x
352,49.91,2.0,x
351,49.25,2.0,x
351,49.25,2.0,x
351,49.25,2.0,x
351,49.25,2.0,x
351,49.25,2.0,x
351,49.25,2.0,x
351,49.25,2.0,x
351,49.25,2.0,x
351,49.25,2.0,x
351,49.25,2.0,x
351,49.25,2.0,x
351,49.25,2.0,x
351,49.25,2.0,x
-416,32.16,-2.0,x
-416,32.16,-2.0,x
-416,32.16,-2.0,x
-445,39.32,-2.0,x
-445,39.32,-2.0,x
-445,39.32,-2.0,x
-445,39.32,-2.0,x
-445,39.32,-2.0,x
-445,39.32,-2.0,x
-445,39.32,-2.0,x
-445,39.32,-2.0,x
-455,40.74,-2.0,x
-455,40.74,-2.0,x
-455,40.74,-2.0,x
-455,40.74,-2.0,x
-455,40.74,-2.0,x
-455,40.74,-2.0,x
-455,40.74,-2.0,x
-455,40.74,-2.0,x
-455,40.74,-2.0,x
-455,40.74,-2.0,x
-22,41.23,-0.5,x
-22,41.23,-0.5,x
-22,41.23,-0.5,x
-22,41.23,-0.5,x
-22,41.23,-0.5,x
-22,41.23,-0.5,x
-22,41.23,-0.5,x
-22,41.23,-0.5,x
-22,41.23,-0.5,x
-22,41.23,-0.5,x
483,31.15,2.0,x
483,31.15,2.0,x
483,31.15,2.0,x
483,31.15,2.0,x
483,31.15,2.0,x
483,31.15,2.0,x
522,33.57,2.0,x
522,33.57,2.0,x
522,33.57,2.0,x
522,33.57,2.0,x
522,33.57,2.0,x
522,33.57,2.0,x
522,33.57,2.0,x
522,33.57,2.0,x
522,33.57,2.0,x
522,33.57,2.0,x
522,33.57,2.0,x
522,33.57,2.0,x
522,33.57,2.0,x
522,33.57,2.0,x
123,29.880000000000003,2.0,x
123,29.880000000000003,2.0,x
123,29.880000000000003,2.0,x
123,29.880000000000003,2.0,x
123,29.880000000000003,2.0,x
-140,44.4,-2.0,x
-140,44.4,-2.0,x
-140,44.4,-2.0,x
-449,40.26,-2.0,x
-449,40.26,-2.0,x
-449,40.26,-2.0,x
-449,40.26,-2.0,x
-523,34.69,-2.0,x
-523,34.69,-2.0,x
-523,34.69,-2.0,x
-302,31.82,-2.0,x
-302,31.82,-2.0,x
-302,31.82,-2.0,x
-302,31.82,-2.0,x
-302,31.82,-2.0,x
-302,31.82,-2.0,x
-302,31.82,-2.0,x
-302,31.82,-2.0,x
-188,43.3,-2.0,x
-188,43.3,-2.0,x
-188,43.3,-2.0,x
-188,43.3,-2.0,x
-188,43.3,-2.0,x
-188,43.3,-2.0,x
-188,43.3,-2.0,x
-188,43.3,-2.0,x
-188,43.3,-2.0,x
-188,43.3,-2.0,x
290,35.87,2.0,x
290,35.87,2.0,x
290,35.87,2.0,x
290,35.87,2.0,x
290,35.87,2.0,x
290,35.87,2.0,x
290,35.87,2.0,x
290,35.87,2.0,x
290,35.87,2.0,x
576,73.01,2.0,x
576,73.01,2.0,x
576,73.01,2.0,x
576,73.01,2.0,x
576,73.01,2.0,x
576,73.01,2.0,x
523,33.94,2.0,x
523,33.94,2.0,x
523,33.94,2.0,x
523,33.94,2.0,x
523,33.94,2.0,x
523,33.94,2.0,x
523,33.94,2.0,x
523,33.94,2.0,x
291,26.490000000000002,2.0,x
291,26.490000000000002,2.0,x
291,26.490000000000002,2.0,x
291,26.490000000000002,2.0,x
291,26.490000000000002,2.0,x
291,26.490000000000002,2.0,x
291,26.490000000000002,2.0,x
291,26.490000000000002,2.0,x
291,26.490000000000002,2.0,x
-158,33.94,-2.0,x
-158,33.94,-2.0,x
-158,33.94,-2.0,x
-158,33.94,-2.0,x
-158,33.94,-2.0,x
-158,33.94,-2.0,x
-158,33.94,-2.0,x
-158,33.94,-2.0,x
-158,33.94,-2.0,x
-561,57.459999999999994,-2.0,x
-561,57.459999999999994,-2.0,x
-561,57.459999999999994,-2.0,x
-561,57.459999999999994,-2.0,x
-561,57.459999999999994,-2.0,x
-561,57.459999999999994,-2.0,x
-561,57.459999999999994,-2.0,x
-438,32.16,-2.0,x
-438,32.16,-2.0,x
-438,32.16,-2.0,x
-438,32.16,-2.0,x
-56,39.78,-0.672,x
-56,39.78,-0.672,x
121,39.32,2.0,x
121,39.32,2.0,x
121,39.32,2.0,x
121,39.32,2.0,x
255,33.21,2.0,x
255,33.21,2.0,x
255,33.21,2.0,x
255,33.21,2.0,x
353,33.57,2.0,x
353,33.57,2.0,x
353,33.57,2.0,x
68,30.509999999999998,0.8160000000000001,x
68,30.509999999999998,0.8160000000000001,x
68,30.509999999999998,0.8160000000000001,x
68,30.509999999999998,0.8160000000000001,x
68,30.509999999999998,0.8160000000000001,x
68,30.509999999999998,0.8160000000000001,x
68,30.509999999999998,0.8160000000000001,x
-67,35.47,-0.804,x
-67,35.47,-0.804,x
-67,35.47,-0.804,x
-67,35.47,-0.804,x
-67,35.47,-0.804,x
-67,35.47,-0.804,x
-67,35.47,-0.804,x
-67,35.47,-0.804,x
-67,35.47,-0.804,x
-335,41.23,-2.0,x
-335,41.23,-2.0,x
-335,41.23,-2.0,x
-335,41.23,-2.0,x
-335,41.23,-2.0,x
-335,41.23,-2.0,x
-335,41.23,-2.0,x
-264,44.96,-2.0,x
-264,44.96,-2.0,x
-264,44.96,-2.0,x
-264,44.96,-2.0,x
-264,44.96,-2.0,x
-264,44.96,-2.0,x
-264,44.96,-2.0,x
89,36.68,1.068,x
89,36.68,1.068,x
89,36.68,1.068,x
89,36.68,1.068,x
89,36.68,1.068,x
89,36.68,1.068,x
432,27.83,2.0,x
432,27.83,2.0,x
432,27.83,2.0,x
432,27.83,2.0,x
432,27.83,2.0,x
432,27.83,2.0,x
432,27.83,2.0,x
432,27.83,2.0,x
432,27.83,2.0,x
493,24.75,2.0,x
493,24.75,2.0,x
493,24.75,2.0,x
493,24.75,2.0,x
493,24.75,2.0,x
493,24.75,2.0,x
493,24.75,2.0,x
493,24.75,2.0,x
493,24.75,2.0,x
493,24.75,2.0,x
493,24.75,2.0,x
493,24.75,2.0,x
493,24.75,2.0,x
493,24.75,2.0,x
33,42.77,-0.5,y
33,42.77,-0.5,y
33,42.77,-0.5,y
33,42.77,-0.5,y
33,42.77,-0.5,y
33,42.77,-0.5,y
33,42.77,-0.5,y
33,42.77,-0.5,y
33,42.77,-0.5,y
33,42.77,-0.5,y
33,42.77,-0.5,y
33,42.77,-0.5,y
33,42.77,-0.5,y
33,42.77,-0.5,y
33,42.77,-0.5,y
33,42.77,-0.5,y
33,42.77,-0.5,y
33,42.77,-0.5,y
33,42.77,-0.5,y
33,42.77,-0.5,y
33,42.77,-0.5,y
33,42.77,-0.5,y
-409,41.74,-2.0,x
-409,41.74,-2.0,x
-409,41.74,-2.0,x
-415,40.74,-2.0,x
-415,40.74,-2.0,x
-415,40.74,-2.0,x
-415,40.74,-2.0,x
-415,40.74,-2.0,x
-415,40.74,-2.0,x
-415,40.74,-2.0,x
-436,49.25,-2.0,x
-436,49.25,-2.0,x
-436,49.25,-2.0,x
-436,49.25,-2.0,x
-436,49.25,-2.0,x
-436,49.25,-2.0,x
-436,49.25,-2.0,x
-436,49.25,-2.0,x
-436,49.25,-2.0,x
-436,49.25,-2.0,x
-436,49.25,-2.0,x
-436,49.25,-2.0,x
-436,49.25,-2.0,x
-64,49.91,-0.768,x
-64,49.91,-0.768,x
-64,49.91,-0.768,x
-64,49.91,-0.768,x
-64,49.91,-0.768,x
-64,49.91,-0.768,x
-64,49.91,-0.768,x
-64,49.91,-0.768,x
582,79.87,2.0,x
582,79.87,2.0,x
582,79.87,2.0,x
582,79.87,2.0,x
582,79.87,2.0,x
582,79.87,2.0,x
582,79.87,2.0,x
549,47.33,2.0,x
549,47.33,2.0,x
549,47.33,2.0,x
549,47.33,2.0,x
549,47.33,2.0,x
549,47.33,2.0,x
549,47.33,2.0,x
549,47.33,2.0,x
549,47.33,2.0,x
549,47.33,2.0,x
550,47.96,2.0,x
550,47.96,2.0,x
550,47.96,2.0,x
113,33.57,2.0,x
113,33.57,2.0,x
113,33.57,2.0,x
113,33.57,2.0,x
113,33.57,2.0,x
-39,50.59,-0.5,x
-39,50.59,-0.5,x
-39,50.59,-0.5,x
-39,50.59,-0.5,x
-283,40.74,-2.0,x
-283,40.74,-2.0,x
-283,40.74,-2.0,x
-283,40.74,-2.0,x
-283,40.74,-2.0,x
-398,49.25,-2.0,x
-398,49.25,-2.0,x
-398,49.25,-2.0,x
-398,49.25,-2.0,x
-398,49.25,-2.0,x
-398,49.25,-2.0,x
-398,49.25,-2.0,x
-398,49.25,-2.0,x
-240,49.91,-2.0,x
-240,49.91,-2.0,x
-240,49.91,-2.0,x
-240,49.91,-2.0,x
-240,49.91,-2.0,x
-240,49.91,-2.0,x
-240,49.91,-2.0,x
-240,49.91,-2.0,x
-240,49.91,-2.0,x
148,47.96,2.0,x
148,47.96,2.0,x
148,47.96,2.0,x
148,47.96,2.0,x
148,47.96,2.0,x
148,47.96,2.0,x
148,47.96,2.0,x
613,184.41,2.0,x
613,184.41,2.0,x
613,184.41,2.0,x
613,184.41,2.0,x
613,184.41,2.0,x
613,184.41,2.0,x
613,184.41,2.0,x
613,184.41,2.0,x
585,86.21,2.0,x
585,86.21,2.0,x
585,86.21,2.0,x
585,86.21,2.0,x
585,86.21,2.0,x
585,86.21,2.0,x
151,36.68,2.0,x
151,36.68,2.0,x
151,36.68,2.0,x
151,36.68,2.0,x
151,36.68,2.0,x
151,36.68,2.0,x
151,36.68,2.0,x
151,36.68,2.0,x
-145,43.3,-2.0,x
-145,43.3,-2.0,x
-145,43.3,-2.0,x
-145,43.3,-2.0,x
-145,43.3,-2.0,x
-145,43.3,-2.0,x
-145,43.3,-2.0,x
-145,43.3,-2.0,x
-590,99.69,-2.0,x
-590,99.69,-2.0,x
-590,99.69,-2.0,x
-590,99.69,-2.0,x
-590,99.69,-2.0,x
-590,99.69,-2.0,x
-590,99.69,-2.0,x
-590,99.69,-2.0,x
