shoulder_angle,elbow_angle,measured_z_cm,measured_y_px
129,136,74.3,-270
129,137,75.63,-274
129,138,75.63,-274
129,139,69.37,-239
129,140,67.11,-205
129,141,68.23,-204
129,142,68.23,-202
129,143,69.37,-138
129,144,68.23,-75
129,145,68.23,-81
129,146,36.68,-104
129,147,68.23,-10
129,148,36.27,-99
129,149,69.37,60
129,150,36.68,-33
129,151,69.37,116
129,152,69.37,116
129,153,68.23,116
129,154,68.23,116
129,155,68.23,116
129,156,69.37,116
129,157,68.23,117
129,158,68.23,117
129,159,68.23,117
128,70,36.68,-57
128,134,79.87,-313
128,135,77.0,-281
128,136,75.63,-277
128,137,67.11,-260
128,138,68.23,-242
128,139,68.23,-203
128,140,67.11,-206
128,141,67.11,-154
128,142,67.11,-154
128,143,68.23,-88
128,144,67.11,-78
128,145,67.11,-78
128,146,68.23,19
128,147,67.11,15
128,148,37.1,-45
128,149,68.23,94
128,150,37.96,21
128,151,67.11,153
128,152,67.11,154
128,153,67.11,153
128,154,67.11,154
128,155,67.11,154
128,156,67.11,153
128,157,67.11,154
128,158,67.11,154
128,159,67.11,153
127,70,37.53,-38
127,134,78.41,-301
127,135,70.55,-257
127,136,70.55,-261
127,137,69.37,-260
127,138,67.11,-227
127,139,66.03,-167
127,140,66.03,-168
127,141,67.11,-133
127,142,66.03,-128
127,143,66.03,-124
127,144,67.11,-53
127,145,64.97,-50
127,146,67.11,4
127,147,66.03,82
127,148,67.11,82
127,149,67.11,148
127,150,67.11,140
127,151,66.03,140
127,152,66.03,140
127,153,67.11,141
127,154,66.03,140
127,155,67.11,140
127,156,66.03,140
127,157,67.11,141
127,158,66.03,140
127,159,67.11,141
126,70,67.11,141
126,132,77.0,-304
126,133,77.0,-300
126,134,64.97,-263
126,135,73.01,-265
126,136,66.03,-236
126,137,55.010000000000005,-231
126,138,62.95,-199
126,139,36.27,-179
126,140,35.47,-172
126,141,66.03,-88
126,142,36.68,-149
126,143,36.27,-118
126,144,36.27,-114
126,145,36.27,-72
126,146,61.97,46
126,147,64.97,114
126,148,32.85,8
126,149,61.97,171
126,150,32.5,73
126,151,61.97,178
126,152,64.97,182
126,153,58.31999999999999,175
126,154,34.69,72
126,155,53.47,184
126,156,57.459999999999994,183
126,157,33.21,84
126,158,63.95,181
126,159,34.31,77
125,131,69.37,-316
125,132,59.2,-279
125,133,63.95,-280
125,134,67.11,-252
125,135,61.97,-231
125,136,58.31999999999999,-227
125,137,61.03,-192
125,138,36.68,-185
125,139,64.97,-169
125,140,35.87,-143
125,141,66.03,-79
125,142,35.07,-136
125,143,31.479999999999997,-98
125,144,63.95,13
125,145,66.03,66
125,146,34.69,-46
125,147,61.97,136
125,148,32.85,43
125,149,64.97,197
125,150,35.07,88
125,151,64.97,199
125,152,64.97,205
125,153,66.03,198
125,154,34.69,92
125,155,62.95,199
125,156,59.2,204
125,157,63.95,198
125,158,61.03,201
125,159,61.97,196
124,130,79.87,-319
124,131,79.87,-318
124,133,71.76,-269
124,134,67.11,-239
124,135,55.010000000000005,-236
124,136,63.95,-191
124,137,55.010000000000005,-185
124,138,66.03,-194
124,139,35.47,-137
124,140,64.97,-74
124,141,29.880000000000003,-137
124,142,33.94,-97
124,143,62.95,16
124,144,34.31,-52
124,145,34.69,-16
124,146,33.57,-15
124,147,61.03,168
124,148,35.07,64
124,149,63.95,215
124,150,58.31999999999999,218
124,152,62.95,216
124,153,34.31,105
124,154,63.95,217
124,155,64.97,214
124,156,52.730000000000004,220
124,157,32.16,107
124,158,33.21,105
124,159,32.85,100
123,129,78.41,-327
123,130,71.76,-289
123,131,73.01,-286
123,132,67.11,-251
123,134,64.97,-218
123,135,56.629999999999995,-214
123,136,56.629999999999995,-172
123,137,36.27,-181
123,138,35.07,-148
123,139,30.509999999999998,-147
123,140,64.97,-23
123,141,62.95,-15
123,142,33.57,-110
123,143,62.95,81
123,144,62.95,77
123,145,32.85,27
123,146,63.95,135
123,147,62.95,208
123,148,33.57,94
123,149,61.97,234
123,150,61.03,236
123,151,62.95,234
123,152,61.03,235
123,153,29.58,123
123,154,64.97,233
123,155,29.28,120
123,156,56.629999999999995,235
123,158,64.97,236
123,159,63.95,236
122,130,70.55,-283
122,131,73.01,-284
122,132,66.03,-238
122,133,63.95,-237
122,134,64.97,-206
122,135,64.97,-202
122,136,35.87,-169
122,137,35.87,-168
122,138,28.11,-134
122,139,35.07,-133
122,140,63.95,21
122,141,33.21,-91
122,142,61.03,18
122,143,31.82,3
122,144,32.85,5
122,145,64.97,176
122,146,62.95,180
122,148,63.95,229
122,149,63.95,251
122,151,61.03,255
122,152,59.2,252
122,153,63.95,252
122,154,29.880000000000003,138
122,155,64.97,252
122,156,30.189999999999998,138
122,157,32.85,135
122,158,33.21,135
122,159,30.83,138
121,127,123.62,-334
121,128,71.76,-294
121,129,59.2,-255
121,130,61.03,-252
121,131,68.23,-255
121,132,59.2,-207
121,133,64.97,-210
121,134,35.47,-171
121,135,35.87,-173
121,136,35.07,-138
121,137,35.07,-125
121,138,33.57,-110
121,139,33.21,-109
121,140,35.07,-108
121,141,64.97,66
121,142,34.31,15
121,143,33.57,12
121,144,36.27,36
121,145,33.94,77
121,146,34.69,107
121,147,62.95,227
121,148,28.11,115
121,150,123.62,-111
121,151,69.37,296
121,152,31.479999999999997,185
121,153,66.03,293
121,154,32.85,185
121,155,67.11,296
121,156,28.979999999999997,183
121,157,64.97,293
121,158,30.83,184
121,159,66.03,298
120,126,73.01,-301
120,127,71.76,-301
120,128,68.23,-274
120,129,69.37,-272
120,130,62.95,-235
120,131,62.95,-229
120,132,64.97,-202
120,133,61.97,-200
120,134,35.47,-171
120,135,34.69,-164
120,136,35.07,-132
120,137,34.69,-130
120,138,62.95,10
120,139,55.81,18
120,140,62.95,79
120,141,32.16,-28
120,142,62.95,144
120,143,64.97,147
120,144,62.95,209
120,145,62.95,207
120,146,28.11,122
120,148,64.97,276
120,149,31.82,170
120,151,67.11,299
120,152,68.23,300
120,153,61.03,302
120,154,68.23,300
120,158,30.509999999999998,188
120,159,68.23,300
119,125,77.0,-315
119,126,71.76,-287
119,127,70.55,-285
119,128,68.23,-258
119,129,66.03,-254
119,130,64.97,-221
119,131,52.0,-201
119,132,62.95,-199
119,133,35.07,-170
119,134,33.94,-166
119,135,35.07,-130
119,136,35.47,-131
119,137,35.47,-132
119,138,35.07,-131
119,139,32.85,-80
119,140,34.31,-20
119,141,33.94,-5
119,142,33.94,59
119,143,62.95,192
119,144,56.629999999999995,191
119,145,62.95,231
119,146,60.099999999999994,236
119,147,31.479999999999997,153
119,150,29.880000000000003,184
119,151,63.95,296
119,152,68.23,298
119,154,66.03,299
119,156,67.11,296
119,157,67.11,297
119,158,67.11,297
119,159,68.23,299
118,70,68.23,297
118,124,93.48,-330
118,125,71.76,-283
118,126,73.01,-286
118,127,73.01,-288
118,128,64.97,-241
118,129,64.97,-242
118,130,63.95,-203
118,131,63.95,-198
118,132,63.95,-199
118,133,35.07,-155
118,134,63.95,-100
118,135,36.68,-145
118,136,33.57,-117
118,137,33.21,-115
118,138,34.69,-67
118,139,63.95,73
118,140,63.95,151
118,141,64.97,143
118,142,61.97,145
118,143,28.979999999999997,101
118,144,62.95,220
118,145,34.31,128
118,146,62.95,254
118,148,66.03,283
118,149,66.03,286
118,150,70.55,314
118,151,32.85,198
118,152,69.37,313
118,154,33.21,199
118,156,70.55,311
118,157,32.5,195
118,158,70.55,310
117,70,35.07,69
117,125,62.95,-282
117,126,67.11,-256
117,127,61.03,-253
117,128,62.95,-232
117,129,59.2,-227
117,130,35.07,-182
117,131,63.95,-173
117,132,63.95,-95
117,133,64.97,-97
117,134,62.95,-35
117,135,63.95,-32
117,136,33.57,-116
117,137,33.57,-69
117,138,62.95,44
117,139,32.85,42
117,140,62.95,152
117,141,61.03,159
117,142,61.97,220
117,143,30.189999999999998,107
117,144,27.28,134
117,145,62.95,254
117,149,70.55,318
116,122,82.93,-326
116,123,75.63,-292
116,124,70.55,-272
116,125,70.55,-272
116,126,68.23,-251
116,127,67.11,-242
116,128,67.11,-243
116,129,64.97,-217
116,130,64.97,-187
116,131,62.95,-154
116,132,66.03,-98
116,133,34.69,-144
116,134,55.81,-10
116,135,62.95,-15
116,136,33.94,-109
116,137,32.85,-31
116,138,63.95,106
116,139,63.95,111
116,140,32.16,53
116,141,33.21,90
116,142,61.97,211
116,143,32.16,128
116,144,61.97,242
116,145,30.189999999999998,164
116,148,70.55,306
115,122,70.55,-282
115,123,64.97,-266
115,124,67.11,-262
115,125,63.95,-236
115,126,64.97,-241
115,127,62.95,-205
115,128,62.95,-203
115,129,57.459999999999994,-146
115,130,35.87,-173
115,131,55.010000000000005,-75
115,132,62.95,-77
115,133,32.5,-107
115,134,32.85,-107
115,135,33.94,-107
115,136,32.85,-56
115,137,32.5,2
115,138,32.16,8
115,139,33.21,81
115,140,61.97,208
115,141,32.16,92
115,143,30.509999999999998,132
115,144,61.97,252
115,145,62.95,276
115,146,66.03,318
114,121,71.76,-292
114,122,73.01,-291
114,124,64.97,-244
114,125,63.95,-243
114,126,64.97,-226
114,127,58.31999999999999,-204
114,128,35.47,-170
114,129,61.03,-105
114,130,61.03,-103
114,131,59.2,-42
114,132,63.95,-43
114,133,32.85,-97
114,134,61.97,24
114,135,61.97,101
114,136,31.82,-4
114,137,58.31999999999999,165
114,138,61.97,175
114,139,32.5,105
114,140,24.509999999999998,117
114,141,25.97,115
114,142,61.03,233
114,143,32.5,156
114,144,64.97,291
114,145,63.95,295
114,152,32.85,276
114,154,32.85,278
114,155,34.31,276
114,156,32.85,276
114,157,32.85,278
114,158,32.85,277
114,159,33.21,277
113,70,33.21,248
113,71,75.63,-282
113,119,70.55,-318
113,120,70.55,-280
113,121,71.76,-288
113,122,66.03,-245
113,123,61.97,-233
